bgcolor,name,value1,value2,value3,value4,hex,r,g,b
FCFCFB,NCS S 0500-N,0,0,1,1,#FCFCFB,252,252,251
FCFCFB,NCS S 0500-N,0,0,1,1,#FCFCFB,252,252,251
F2F2F0,NCS S 1000-N,0,0,2,6,#F2F2F0,242,242,240
E0DFDE,NCS S 1500-N,0,1,2,14,#E0DFDE,224,223,222
D8D8D7,NCS S 2000-N,0,1,2,18,#D8D8D7,216,216,215
CECDCC,NCS S 2500-N,0,1,2,23,#CECDCC,206,205,204
C0BFBE,NCS S 3000-N,0,1,3,29,#C0BFBE,192,191,190
B0B0AF,NCS S 3500-N,0,1,3,36,#B0B0AF,176,176,175
A5A5A4,NCS S 4000-N,0,1,3,41,#A5A5A4,165,165,164
979796,NCS S 4500-N,0,1,4,47,#979796,151,151,150
8E8E8D,NCS S 5000-N,0,1,4,51,#8E8E8D,142,142,141
858583,NCS S 5500-N,0,2,5,55,#858583,133,133,131
7A7977,NCS S 6000-N,0,2,5,60,#7A7977,122,121,119
6D6D6B,NCS S 6500-N,0,2,5,65,#6D6D6B,109,109,107
60605E,NCS S 7000-N,0,2,5,70,#60605E,96,96,94
545452,NCS S 7500-N,0,2,5,75,#545452,84,84,82
434241,NCS S 8000-N,0,2,5,82,#434241,67,66,65
262824,NCS S 8500-N,10,0,15,92,#262824,38,40,36
111410,NCS S 9000-N,15,0,25,100,#111410,17,20,16
FFFDF2,NCS S 0502-Y,0,0,8,0,#FFFDF2,255,253,242
EAE8DB,NCS S 1002-Y,0,0,10,10,#EAE8DB,234,232,219
D5D3C7,NCS S 1502-Y,0,0,10,20,#D5D3C7,213,211,199
C9C8BD,NCS S 2002-Y,0,0,10,25,#C9C8BD,201,200,189
B8B7AD,NCS S 2502-Y,0,0,10,33,#B8B7AD,184,183,173
9A9B92,NCS S 3502-Y,0,0,11,46,#9A9B92,154,155,146
86867E,NCS S 4502-Y,0,0,12,55,#86867E,134,134,126
6D6D66,NCS S 5502-Y,0,0,12,65,#6D6D66,109,109,102
55554F,NCS S 6502-Y,0,0,12,75,#55554F,85,85,79
353430,NCS S 7502-Y,0,0,12,88,#353430,53,52,48
151311,NCS S 8502-Y,0,0,15,100,#151311,21,19,17
FFFAED,NCS S 0502-Y50R,0,2,10,0,#FFFAED,255,250,237
F0E9DD,NCS S 1002-Y50R,0,3,10,7,#F0E9DD,240,233,221
DAD4CA,NCS S 1502-Y50R,0,4,10,17,#DAD4CA,218,212,202
C8C1B9,NCS S 2002-Y50R,0,5,10,25,#C8C1B9,200,193,185
FFFBF8,NCS S 0502-R,0,2,3,0,#FFFBF8,255,251,248
E9E4DF,NCS S 1002-R,0,3,5,10,#E9E4DF,233,228,223
D4CFCC,NCS S 1502-R,0,4,5,20,#D4CFCC,212,207,204
C3BEBC,NCS S 2002-R,0,5,5,27,#C3BEBC,195,190,188
B9B4B2,NCS S 2502-R,0,5,5,32,#B9B4B2,185,180,178
918D8D,NCS S 3502-R,0,5,5,50,#918D8D,145,141,141
7A7776,NCS S 4502-R,0,5,5,60,#7A7776,122,119,118
6C6965,NCS S 5502-R,0,6,10,65,#6C6965,108,105,101
54504D,NCS S 6502-R,0,8,10,75,#54504D,84,80,77
2F2C2A,NCS S 7502-R,0,9,10,90,#2F2C2A,47,44,42
161212,NCS S 8502-R,0,10,10,100,#161212,22,18,18
FCFBFD,NCS S 0502-R50B,2,2,0,0,#FCFBFD,252,251,253
E1E2E5,NCS S 1002-R50B,2,2,0,12,#E1E2E5,225,226,229
D1D1D6,NCS S 1502-R50B,4,4,0,18,#D1D1D6,209,209,214
BCBDC2,NCS S 2002-R50B,4,4,0,28,#BCBDC2,188,189,194
FAFDFF,NCS S 0502-B,3,0,0,0,#FAFDFF,250,253,255
E3E8EA,NCS S 1002-B,4,0,0,10,#E3E8EA,227,232,234
D2D7DA,NCS S 1502-B,4,0,0,18,#D2D7DA,210,215,218
BFC4C7,NCS S 2002-B,4,0,0,27,#BFC4C7,191,196,199
AEB3B6,NCS S 2502-B,4,0,0,35,#AEB3B6,174,179,182
8D9194,NCS S 3502-B,4,0,0,50,#8D9194,141,145,148
767A7C,NCS S 4502-B,4,0,0,60,#767A7C,118,122,124
5B5F61,NCS S 5502-B,7,0,0,70,#5B5F61,91,95,97
434749,NCS S 6502-B,9,0,0,80,#434749,67,71,73
292D2F,NCS S 7502-B,12,0,0,90,#292D2F,41,45,47
091115,NCS S 8502-B,30,0,0,100,#091115,9,17,21
FAFDF8,NCS S 0502-B50G,3,0,4,0,#FAFDF8,250,253,248
E7EBE6,NCS S 1002-B50G,4,0,5,8,#E7EBE6,231,235,230
CBD3D0,NCS S 1502-B50G,7,0,5,19,#CBD3D0,203,211,208
B6BFBD,NCS S 2002-B50G,8,0,5,28,#B6BFBD,182,191,189
FAFDF7,NCS S 0502-G,3,0,5,0,#FAFDF7,250,253,247
EBF0E7,NCS S 1002-G,5,0,8,5,#EBF0E7,235,240,231
D6DBD3,NCS S 1502-G,5,0,8,15,#D6DBD3,214,219,211
C1C6BF,NCS S 2002-G,5,0,8,25,#C1C6BF,193,198,191
B0B5B0,NCS S 2502-G,5,0,8,33,#B0B5B0,176,181,176
919692,NCS S 3502-G,5,0,8,47,#919692,145,150,146
808481,NCS S 4502-G,5,0,8,55,#808481,128,132,129
5C5F5C,NCS S 5502-G,5,0,8,70,#5C5F5C,92,95,92
464845,NCS S 6502-G,5,0,8,80,#464845,70,72,69
2B2E2C,NCS S 7502-G,10,0,8,90,#2B2E2C,43,46,44
131411,NCS S 8502-G,10,0,20,100,#131411,19,20,17
FCFDF7,NCS S 0502-G50Y,2,0,5,0,#FCFDF7,252,253,247
F0F2EB,NCS S 1002-G50Y,2,0,5,5,#F0F2EB,240,242,235
DADCD0,NCS S 1502-G50Y,3,0,10,15,#DADCD0,218,220,208
C4C7BD,NCS S 2002-G50Y,3,0,10,25,#C4C7BD,196,199,189
FFFBE7,NCS S 0505-Y,0,0,14,0,#FFFBE7,255,251,231
FFF9D6,NCS S 0507-Y,0,0,25,0,#FFF9D6,255,249,214
FFF8CA,NCS S 0510-Y,0,0,30,0,#FFF8CA,255,248,202
FFF6BE,NCS S 0515-Y,0,0,35,0,#FFF6BE,255,246,190
FFEEA7,NCS S 0520-Y,0,3,46,0,#FFEEA7,255,238,167
FFEB92,NCS S 0530-Y,0,3,55,0,#FFEB92,255,235,146
FEE66B,NCS S 0540-Y,0,3,70,0,#FEE66B,254,230,107
FDDD4E,NCS S 0550-Y,0,7,80,0,#FDDD4E,253,221,78
FDD72C,NCS S 0560-Y,0,10,90,0,#FDD72C,253,215,44
FAD500,NCS S 0570-Y,0,8,100,0,#FAD500,250,213,0
F9CF00,NCS S 0580-Y,0,12,100,0,#F9CF00,249,207,0
F5F0D3,NCS S 1005-Y,0,0,20,5,#F5F0D3,245,240,211
F4EAB5,NCS S 1010-Y,0,1,35,5,#F4EAB5,244,234,181
F6E9B0,NCS S 1015-Y,0,3,38,4,#F6E9B0,246,233,176
F4E5A3,NCS S 1020-Y,0,4,43,5,#F4E5A3,244,229,163
F6DE8A,NCS S 1030-Y,0,8,55,3,#F6DE8A,246,222,138
F9DD80,NCS S 1040-Y,0,10,60,2,#F9DD80,249,221,128
FED74C,NCS S 1050-Y,0,12,80,0,#FED74C,254,215,76
FCD32B,NCS S 1060-Y,0,13,90,0,#FCD32B,252,211,43
F7CA27,NCS S 1070-Y,0,17,90,2,#F7CA27,247,202,39
ECBC00,NCS S 1080-Y,0,20,100,5,#ECBC00,236,188,0
DED5A5,NCS S 1510-Y,0,2,35,15,#DED5A5,222,213,165
DED5A5,NCS S 1510-Y,0,2,35,15,#DED5A5,222,213,165
DDD19A,NCS S 1515-Y,0,4,40,15,#DDD19A,221,209,154
C8C4AD,NCS S 2005-Y,0,2,20,25,#C8C4AD,200,196,173
C6BE9E,NCS S 2010-Y,0,4,28,25,#C6BE9E,198,190,158
C8BB86,NCS S 2020-Y,0,5,43,24,#C8BB86,200,187,134
CDB867,NCS S 2030-Y,0,10,60,20,#CDB867,205,184,103
D0B353,NCS S 2040-Y,0,14,70,18,#D0B353,208,179,83
CEA926,NCS S 2050-Y,0,18,86,18,#CEA926,206,169,38
C7A300,NCS S 2060-Y,0,18,95,20,#C7A300,199,163,0
C19F00,NCS S 2070-Y,0,16,100,23,#C19F00,193,159,0
AFA580,NCS S 3010-Y,0,6,36,35,#AFA580,175,165,128
B1A16D,NCS S 3020-Y,0,10,48,33,#B1A16D,177,161,109
AF9B58,NCS S 3030-Y,0,12,60,33,#AF9B58,175,155,88
A88A36,NCS S 3040-Y,0,20,75,35,#A88A36,168,138,54
9C7A19,NCS S 3050-Y,0,25,85,40,#9C7A19,156,122,25
9C7900,NCS S 3060-Y,0,25,95,40,#9C7900,156,121,0
987400,NCS S 3560-Y,0,28,100,43,#987400,152,116,0
907E47,NCS S 4020-Y,0,15,60,47,#907E47,144,126,71
93792E,NCS S 4030-Y,0,20,75,45,#93792E,147,121,46
8B6E13,NCS S 4040-Y,0,23,85,48,#8B6E13,139,110,19
866800,NCS S 4050-Y,0,25,90,50,#866800,134,104,0
816300,NCS S 4550-Y,0,28,100,53,#816300,129,99,0
746438,NCS S 5020-Y,0,17,60,60,#746438,116,100,56
765B14,NCS S 5030-Y,0,27,82,58,#765B14,118,91,20
6A4F00,NCS S 5040-Y,0,30,90,62,#6A4F00,106,79,0
624F2C,NCS S 6020-Y,0,25,60,68,#624F2C,98,79,44
3E3000,NCS S 6030-Y,0,28,100,80,#3E3000,62,48,0
433212,NCS S 7020-Y,0,30,70,80,#433212,67,50,18
FFF9E5,NCS S 0505-Y10R,0,1,15,0,#FFF9E5,255,249,229
FFF4C8,NCS S 0510-Y10R,0,3,30,0,#FFF4C8,255,244,200
FFEFB3,NCS S 0515-Y10R,0,4,40,0,#FFEFB3,255,239,179
FFEBA5,NCS S 0520-Y10R,0,6,46,0,#FFEBA5,255,235,165
FFE292,NCS S 0530-Y10R,0,11,53,0,#FFE292,255,226,146
FFDC7A,NCS S 0540-Y10R,0,13,63,0,#FFDC7A,255,220,122
