bgcolor,name,value1,value2,value3,value4,hex,r,g,b
fce85f,PANTONE 101,0,0,68,0,#FCE85F,252,232,95
fee500,PANTONE 102,0,0,95,0,#FEE500,254,229,0
d0bc00,PANTONE 103,5,5,100,16,#D0BC00,208,188,0
bba30d,PANTONE 104,7,13,100,28,#BBA30D,187,163,13
998730,PANTONE 105,13,18,88,45,#998730,153,135,48
fce85d,PANTONE 106,0,0,75,0,#FCE85D,252,232,93
fde724,PANTONE 107,0,0,92,0,#FDE724,253,231,36
f9da00,PANTONE 108,0,5,98,0,#F9DA00,249,218,0
f8d500,PANTONE 109,0,9,100,0,#F8D500,248,213,0
dbb216,PANTONE 110,2,22,100,8,#DBB216,219,178,22
b69920,PANTONE 111,8,21,100,28,#B69920,182,153,32
a48c1a,PANTONE 112,10,20,100,40,#A48C1A,164,140,26
fae34e,PANTONE 113,0,2,83,0,#FAE34E,250,227,78
f9de45,PANTONE 114,0,4,87,0,#F9DE45,249,222,69
f8db46,PANTONE 115,0,6,87,0,#F8DB46,248,219,70
f5cb08,PANTONE 116,0,14,100,0,#F5CB08,245,203,8
cda31f,PANTONE 117,6,27,100,12,#CDA31F,205,163,31
b48f1f,PANTONE 118,7,28,100,30,#B48F1F,180,143,31
937f20,PANTONE 119,17,22,100,47,#937F20,147,127,32
f7dd76,PANTONE 120,0,5,64,0,#F7DD76,247,221,118
f6d86f,PANTONE 121,0,8,70,0,#F6D86F,246,216,111
f5d258,PANTONE 122,0,11,80,0,#F5D258,245,210,88
f2c541,PANTONE 123,0,19,89,0,#F2C541,242,197,65
edb220,PANTONE 124,0,30,100,0,#EDB220,237,178,32
bb9121,PANTONE 125,6,32,100,24,#BB9121,187,145,33
a7861d,PANTONE 126,11,31,100,36,#A7861D,167,134,29
fae17b,PANTONE 127,0,4,62,0,#FAE17B,250,225,123
f8d962,PANTONE 128,0,7,75,0,#F8D962,248,217,98
f6d15a,PANTONE 129,0,11,78,0,#F6D15A,246,209,90
edac1a,PANTONE 130,0,32,100,0,#EDAC1A,237,172,26
d0941f,PANTONE 131,2,39,100,10,#D0941F,208,148,31
ab7f20,PANTONE 132,9,38,100,32,#AB7F20,171,127,32
775f1f,PANTONE 133,19,37,100,59,#775F1F,119,95,31
f5d27a,PANTONE 134,0,12,60,0,#F5D27A,245,210,122
f1c15c,PANTONE 135,0,21,76,0,#F1C15C,241,193,92
efb646,PANTONE 136,0,28,87,0,#EFB646,239,182,70
eaa124,PANTONE 137,0,41,100,0,#EAA124,234,161,36
e68c28,PANTONE 138,0,52,100,0,#E68C28,230,140,40
b27827,PANTONE 139,7,49,100,25,#B27827,178,120,39
7d5a25,PANTONE 140,19,49,100,54,#7D5A25,125,90,37
f5cd66,PANTONE 141,0,16,65,0,#F5CD66,245,205,102
f2bf4c,PANTONE 142,0,24,78,0,#F2BF4C,242,191,76
f0b336,PANTONE 143,0,32,87,0,#F0B336,240,179,54
ea961c,PANTONE 144,0,51,100,0,#EA961C,234,150,28
d08921,PANTONE 145,4,53,100,8,#D08921,208,137,33
a97620,PANTONE 146,7,50,100,34,#A97620,169,118,32
786428,PANTONE 147,19,38,90,58,#786428,120,100,40
f4d199,PANTONE 148,0,17,43,0,#F4D199,244,209,153
f2c688,PANTONE 149,0,24,51,0,#F2C688,242,198,136
edaa50,PANTONE 150,0,41,78,0,#EDAA50,237,170,80
e88d21,PANTONE 151,0,60,100,0,#E88D21,232,141,33
e68523,PANTONE 152,0,66,100,0,#E68523,230,133,35
c17723,PANTONE 153,5,64,100,17,#C17723,193,119,35
9d6120,PANTONE 154,8,66,100,41,#9D6120,157,97,32
f5d7a5,PANTONE 155,0,12,34,0,#F5D7A5,245,215,165
f1c382,PANTONE 156,0,23,49,0,#F1C382,241,195,130
eba344,PANTONE 157,0,42,74,0,#EBA344,235,163,68
e47e1a,PANTONE 158,0,62,95,0,#E47E1A,228,126,26
d0651e,PANTONE 159,1,72,100,7,#D0651E,208,101,30
ab5a20,PANTONE 160,6,71,100,31,#AB5A20,171,90,32
66401d,PANTONE 161,16,67,100,71,#66401D,102,64,29
f0c4a0,PANTONE 162,0,25,35,0,#F0C4A0,240,196,160
eba677,PANTONE 163,0,44,52,0,#EBA677,235,166,119
e68a48,PANTONE 164,0,59,80,0,#E68A48,230,138,72
e37828,PANTONE 165,0,70,100,0,#E37828,227,120,40
e06c2a,PANTONE 166,0,76,100,0,#E06C2A,224,108,42
bb5d29,PANTONE 167,5,77,100,15,#BB5D29,187,93,41
6f3b20,PANTONE 168,12,80,100,60,#6F3B20,111,59,32
eebca8,PANTONE 169,0,30,26,0,#EEBCA8,238,188,168
e89c77,PANTONE 170,0,48,50,0,#E89C77,232,156,119
e4834e,PANTONE 171,0,61,72,0,#E4834E,228,131,78
e06e37,PANTONE 172,0,73,87,0,#E06E37,224,110,55
d7572b,PANTONE 173,0,82,94,2,#D7572B,215,87,43
9c4124,PANTONE 174,8,86,100,36,#9C4124,156,65,36
77402e,PANTONE 175,18,79,78,56,#77402E,119,64,46
edb9b4,PANTONE 176,0,35,18,0,#EDB9B4,237,185,180
e7948a,PANTONE 177,0,54,38,0,#E7948A,231,148,138
e27865,PANTONE 178,0,70,58,0,#E27865,226,120,101
dd5143,PANTONE 179,0,87,85,0,#DD5143,221,81,67
c1433c,PANTONE 180,3,91,86,12,#C1433C,193,67,60
80352f,PANTONE 181,21,93,88,50,#80352F,128,53,47
ecbec5,PANTONE 182,0,31,8,0,#ECBEC5,236,190,197
e79ca6,PANTONE 183,0,49,17,0,#E79CA6,231,156,166
df6b7c,PANTONE 184,0,73,32,0,#DF6B7C,223,107,124
d93740,PANTONE 185,0,93,79,0,#D93740,217,55,64
c92a39,PANTONE 186,2,100,85,6,#C92A39,201,42,57
ac2b37,PANTONE 187,7,100,82,26,#AC2B37,172,43,55
7d2935,PANTONE 188,16,100,65,58,#7D2935,125,41,53
ebb3bc,PANTONE 189,0,39,10,0,#EBB3BC,235,179,188
e58f9e,PANTONE 190,0,56,18,0,#E58F9E,229,143,158
de6276,PANTONE 191,0,79,36,0,#DE6276,222,98,118
db3b50,PANTONE 192,0,94,64,0,#DB3B50,219,59,80
c32e4c,PANTONE 193,2,99,62,11,#C32E4C,195,46,76
9d2945,PANTONE 194,8,100,55,37,#9D2945,157,41,69
7e3545,PANTONE 195,19,90,50,55,#7E3545,126,53,69
efcad0,PANTONE 196,0,23,6,0,#EFCAD0,239,202,208
e8a1b0,PANTONE 197,0,46,12,0,#E8A1B0,232,161,176
dc5672,PANTONE 198,0,82,37,0,#DC5672,220,86,114
d82949,PANTONE 199,0,100,72,0,#D82949,216,41,73
a12a3d,PANTONE 201,7,100,68,32,#A12A3D,161,42,61
8d2838,PANTONE 202,9,100,64,48,#8D2838,141,40,56
eab3c9,PANTONE 203,0,37,2,0,#EAB3C9,234,179,201
e387aa,PANTONE 204,0,59,5,0,#E387AA,227,135,170
dd5484,PANTONE 205,0,83,16,0,#DD5484,221,84,132
d82455,PANTONE 206,0,100,50,0,#D82455,216,36,85
b0244a,PANTONE 207,5,100,48,22,#B0244A,176,36,74
8c2345,PANTONE 208,15,100,37,45,#8C2345,140,35,69
77253c,PANTONE 209,20,97,40,58,#77253C,119,37,60
e9abc2,PANTONE 210,0,45,4,0,#E9ABC2,233,171,194
e58bad,PANTONE 211,0,61,6,0,#E58BAD,229,139,173
df6797,PANTONE 212,0,78,8,0,#DF6797,223,103,151
db3e79,PANTONE 213,0,92,18,0,#DB3E79,219,62,121
cf2366,PANTONE 214,0,100,24,4,#CF2366,207,35,102
aa2157,PANTONE 215,6,100,26,24,#AA2157,170,33,87
802447,PANTONE 216,13,96,26,52,#802447,128,36,71
e8bad2,PANTONE 217,1,32,0,0,#E8BAD2,232,186,210
dd81af,PANTONE 218,2,63,0,0,#DD81AF,221,129,175
d73786,PANTONE 219,1,92,4,0,#D73786,215,55,134
ae2359,PANTONE 220,5,100,25,24,#AE2359,174,35,89
9c2452,PANTONE 221,9,100,26,38,#9C2452,156,36,82
732444,PANTONE 222,20,100,22,61,#732444,115,36,68
e39ec1,PANTONE 223,1,50,0,0,#E39EC1,227,158,193
d977a9,PANTONE 224,3,70,0,0,#D977A9,217,119,169
d3468f,PANTONE 225,4,88,0,0,#D3468F,211,70,143
d70c7a,PANTONE 226,0,100,2,0,#D70C7A,215,12,122
af1c63,PANTONE 227,7,100,10,21,#AF1C63,175,28,99
8f2054,PANTONE 228,16,100,14,42,#8F2054,143,32,84
