bgcolor,ral_code,name,cmyk_coated,cmyk_uncoated,html_hex,rgb
CCC58F,RAL 1000,Зелёно-бежевый,"[10, 10, 50, 10]","[0, 3, 40, 10]",#CCC58F,"[204, 197, 143]"
D1BC8A,RAL 1001,Бежевый,"[0, 20, 50, 20]","[10, 20, 40, 0]",#D1BC8A,"[209, 188, 138]"
D2B773,RAL 1002,Песочно-жёлтый,"[0, 20, 60, 10]","[3, 23, 60, 7]",#D2B773,"[210, 183, 115]"
F7BA0B,RAL 1003,Сигнальный жёлтый,"[5, 20, 90, 0]","[0, 20, 100, 0]",#F7BA0B,"[247, 186, 11]"
E2B007,RAL 1004,Жёлто-золотой,"[5, 30, 100, 0]","[0, 20, 100, 10]",#E2B007,"[226, 176, 7]"
C89F04,RAL 1005,Медово-жёлтый,"[10, 30, 100, 0]","[10, 20, 90, 0]",#C89F04,"[200, 159, 4]"
E1A100,RAL 1006,Кукурузно-жёлтый,"[5, 30, 90, 0]","[0, 30, 100, 0]",#E1A100,"[225, 161, 0]"
E79C00,RAL 1007,Нарциссово-жёлтый,"[0, 40, 100, 0]","[0, 30, 100, 0]",#E79C00,"[231, 156, 0]"
AF8A54,RAL 1011,Коричнево-бежевый,"[30, 40, 70, 0]","[20, 50, 100, 10]",#AF8A54,"[175, 138, 84]"
D9C022,RAL 1012,Лимонно-жёлтый,"[10, 10, 90, 0]","[10, 10, 100, 0]",#D9C022,"[217, 192, 34]"
E9E5CE,RAL 1013,Жемчужно-белый,"[0, 5, 20, 10]","[10, 10, 20, 0]",#E9E5CE,"[233, 229, 206]"
DED09F,RAL 1014,Слоновая кость,"[0, 10, 40, 10]","[10, 10, 30, 0]",#DED09F,"[222, 208, 159]"
EADEBD,RAL 1015,Светлая слоновая кость,"[0, 5, 30, 10]","[10, 10, 20, 0]",#EADEBD,"[234, 222, 189]"
EAF044,RAL 1016,Жёлтая сера,"[10, 0, 90, 0]","[10, 0, 80, 0]",#EAF044,"[234, 240, 68]"
F4B752,RAL 1017,Шафраново-жёлтый,"[0, 30, 70, 0]","[0, 30, 90, 0]",#F4B752,"[244, 183, 82]"
F3E03B,RAL 1018,Цинково-жёлтый,"[0, 0, 80, 0]","[0, 0, 90, 0]",#F3E03B,"[243, 224, 59]"
A4957D,RAL 1019,Серо-бежевый,"[5, 20, 40, 40]","[10, 20, 30, 0]",#A4957D,"[164, 149, 125]"
9A9464,RAL 1020,Оливково-жёлтый,"[1, 5, 30, 40]","[10, 10, 50, 25]",#9A9464,"[154, 148, 100]"
EEC900,RAL 1021,Рапсово-жёлтый,"[0, 10, 100, 0]","[0, 0, 100, 0]",#EEC900,"[238, 201, 0]"
F0CA00,RAL 1023,Транспортно-жёлтый,"[0, 10, 90, 0]","[0, 10, 100, 0]",#F0CA00,"[240, 202, 0]"
B89C50,RAL 1024,Охра жёлтая,"[30, 40, 70, 10]","[0, 20, 100, 25]",#B89C50,"[184, 156, 80]"
A38C15,RAL 1027,Карри жёлтый,"[10, 20, 90, 40]","[30, 30, 100, 0]",#A38C15,"[163, 140, 21]"
FFAB00,RAL 1028,Дынно-жёлтый,"[0, 30, 100, 0]","[0, 20, 100, 0]",#FFAB00,"[255, 171, 0]"
DDB20F,RAL 1032,Жёлтый ракитник,"[0, 30, 90, 10]","[0, 20, 100, 10]",#DDB20F,"[221, 178, 15]"
FAAB21,RAL 1033,Георгиново-жёлтый,"[0, 30, 90, 0]","[0, 30, 100, 0]",#FAAB21,"[250, 171, 33]"
EDAB56,RAL 1034,Пастельно-жёлтый,"[0, 30, 80, 0]","[0, 30, 60, 0]",#EDAB56,"[237, 171, 86]"
EEA205,RAL 1037,Солнечно-жёлтый,"[0, 40, 100, 0]","[0, 35, 90, 0]",#EEA205,"[238, 162, 5]"
