bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
37393B,RAL_000_20_00,RAL 000 20 00,"[70, 58, 53, 60]","[72, 57, 44, 62]",#37393B,"[55, 57, 59]"
414345,RAL_000_25_00,RAL 000 25 00,"[67, 55, 51, 53]","[67, 54, 43, 55]",#414345,"[65, 67, 69]"
4A4B4C,RAL_000_30_00,RAL 000 30 00,"[63, 51, 50, 49]","[63, 51, 43, 50]",#4A4B4C,"[74, 75, 76]"
565758,RAL_000_35_00,RAL 000 35 00,"[60, 48, 47, 42]","[58, 47, 40, 42]",#565758,"[86, 87, 88]"
606162,RAL_000_40_00,RAL 000 40 00,"[56, 45, 45, 36]","[55, 44, 39, 36]",#606162,"[96, 97, 98]"
6E6F70,RAL_000_45_00,RAL 000 45 00,"[53, 42, 41, 30]","[50, 40, 36, 29]",#6E6F70,"[110, 111, 112]"
787A7A,RAL_000_50_00,RAL 000 50 00,"[49, 39, 38, 25]","[47, 37, 33, 24]",#787A7A,"[120, 122, 122]"
838585,RAL_000_55_00,RAL 000 55 00,"[46, 36, 35, 21]","[43, 33, 30, 19]",#838585,"[131, 133, 133]"
909293,RAL_000_60_00,RAL 000 60 00,"[42, 32, 32, 16]","[39, 29, 27, 15]",#909293,"[144, 146, 147]"
9FA1A2,RAL_000_65_00,RAL 000 65 00,"[37, 28, 28, 11]","[34, 25, 23, 10]",#9FA1A2,"[159, 161, 162]"
ADAFAF,RAL_000_70_00,RAL 000 70 00,"[33, 24, 25, 8]","[30, 22, 20, 7]",#ADAFAF,"[173, 175, 175]"
BBBDBE,RAL_000_75_00,RAL 000 75 00,"[28, 20, 21, 5]","[25, 18, 17, 4]",#BBBDBE,"[187, 189, 190]"
CACBCC,RAL_000_80_00,RAL 000 80 00,"[23, 15, 16, 3]","[20, 14, 14, 2]",#CACBCC,"[202, 203, 204]"
D6D7D6,RAL_000_85_00,RAL 000 85 00,"[18, 12, 15, 2]","[16, 11, 12, 1]",#D6D7D6,"[214, 215, 214]"
E1E4E2,RAL_000_90_00,RAL 000 90 00,"[13, 7, 11, 0]","[12, 7, 9, 0]",#E1E4E2,"[225, 228, 226]"
4A2E35,RAL_010_20_15,RAL 010 20 15,"[56, 74, 53, 59]","[62, 87, 54, 52]",#4A2E35,"[74, 46, 53]"
512D35,RAL_010_20_20,RAL 010 20 20,"[51, 76, 52, 57]","[58, 93, 57, 47]",#512D35,"[81, 45, 53]"
572A36,RAL_010_20_25,RAL 010 20 25,"[48, 80, 50, 56]","[55, 96, 56, 46]",#572A36,"[87, 42, 54]"
63444B,RAL_010_30_15,RAL 010 30 15,"[49, 65, 47, 45]","[56, 79, 53, 31]",#63444B,"[99, 68, 75]"
6B404A,RAL_010_30_20,RAL 010 30 20,"[45, 70, 47, 44]","[55, 86, 57, 25]",#6B404A,"[107, 64, 74]"
733E4A,RAL_010_30_25,RAL 010 30 25,"[40, 74, 45, 42]","[49, 92, 57, 23]",#733E4A,"[115, 62, 74]"
7A3948,RAL_010_30_30,RAL 010 30 30,"[34, 78, 44, 42]","[42, 96, 55, 25]",#7A3948,"[122, 57, 72]"
7C3244,RAL_010_30_35,RAL 010 30 35,"[30, 82, 44, 44]","[39, 98, 54, 26]",#7C3244,"[124, 50, 68]"
842A42,RAL_010_30_40,RAL 010 30 40,"[23, 86, 43, 44]","[34, 100, 55, 24]",#842A42,"[132, 42, 66]"
8C2143,RAL_010_30_44,RAL 010 30 44,"[16, 91, 38, 42]","[31, 100, 52, 21]",#8C2143,"[140, 33, 67]"
755F62,RAL_010_40_10,RAL 010 40 10,"[47, 54, 43, 33]","[44, 56, 39, 31]",#755F62,"[117, 95, 98]"
