bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
E0E1D9,RAL_110-2,RAL 110-2,"[0, 0, 8, 10]","[3, 3, 5, 0]",#E0E1D9,"[224, 225, 217]"
CACBC4,RAL_110-3,RAL 110-3,"[7, 6, 20, 15]","[5, 5, 5, 10]",#CACBC4,"[202, 203, 196]"
C7CDCA,RAL_110-4,RAL 110-4,"[10, 5, 13, 15]","[5, 5, 5, 7]",#C7CDCA,"[199, 205, 202]"
CAD2CD,RAL_110-5,RAL 110-5,"[13, 5, 14, 11]","[5, 5, 10, 0]",#CAD2CD,"[202, 210, 205]"
CACECC,RAL_110-6,RAL 110-6,"[17, 12, 15, 5]","[5, 5, 5, 3]",#CACECC,"[202, 206, 204]"
A2A7A9,RAL_110-M,RAL 110-M,"[0, 0, 3, 50]","[10, 10, 5, 20]",#A2A7A9,"[162, 167, 169]"
EDF0EE,RAL_120-1,RAL 120-1,"[0, 0, 3, 0]","[0, 0, 3, 0]",#EDF0EE,"[237, 240, 238]"
F4F6F0,RAL_120-2,RAL 120-2,"[0, 0, 5, 0]","[0, 0, 4, 0]",#F4F6F0,"[244, 246, 240]"
F0F1E7,RAL_120-3,RAL 120-3,"[0, 0, 6, 0]","[0, 0, 5, 0]",#F0F1E7,"[240, 241, 231]"
E8E8DA,RAL_120-4,RAL 120-4,"[3, 5, 14, 0]","[0, 3, 5, 0]",#E8E8DA,"[232, 232, 218]"
E3E0CB,RAL_120-5,RAL 120-5,"[0, 4, 18, 5]","[0, 3, 10, 3]",#E3E0CB,"[227, 224, 203]"
E8E8D4,RAL_120-6,RAL 120-6,"[0, 0, 17, 3]","[0, 3, 10, 0]",#E8E8D4,"[232, 232, 212]"
969891,RAL_120-M,RAL 120-M,"[29, 19, 35, 32]","[30, 30, 20, 10]",#969891,"[150, 152, 145]"
EDF5BF,RAL_130-1,RAL 130-1,"[3, 0, 38, 0]","[0, 0, 15, 0]",#EDF5BF,"[237, 245, 191]"
ECF5C7,RAL_130-2,RAL 130-2,"[3, 0, 30, 0]","[0, 0, 17, 0]",#ECF5C7,"[236, 245, 199]"
EBF4D1,RAL_130-3,RAL 130-3,"[3, 0, 25, 0]","[0, 0, 13, 0]",#EBF4D1,"[235, 244, 209]"
F5F6D3,RAL_130-4,RAL 130-4,"[0, 0, 24, 0]","[0, 0, 11, 0]",#F5F6D3,"[245, 246, 211]"
EBECC0,RAL_130-5,RAL 130-5,"[4, 3, 31, 0]","[0, 0, 10, 0]",#EBECC0,"[235, 236, 192]"
F5EEB4,RAL_130-6,RAL 130-6,"[0, 3, 40, 0]","[0, 3, 20, 0]",#F5EEB4,"[245, 238, 180]"
ADB49B,RAL_130-M,RAL 130-M,"[13, 7, 40, 40]","[10, 10, 20, 20]",#ADB49B,"[173, 180, 155]"
F6DCAE,RAL_140-1,RAL 140-1,"[0, 18, 40, 0]","[0, 9, 20, 0]",#F6DCAE,"[246, 220, 174]"
F6E4AB,RAL_140-2,RAL 140-2,"[0, 13, 40, 0]","[0, 10, 37, 0]",#F6E4AB,"[246, 228, 171]"
F9EBC4,RAL_140-3,RAL 140-3,"[0, 8, 30, 0]","[0, 7, 20, 0]",#F9EBC4,"[249, 235, 196]"
F6E7C3,RAL_140-4,RAL 140-4,"[0, 14, 36, 0]","[0, 5, 15, 0]",#F6E7C3,"[246, 231, 195]"
F5EACC,RAL_140-5,RAL 140-5,"[0, 7, 25, 0]","[0, 5, 10, 0]",#F5EACC,"[245, 234, 204]"
E2DABA,RAL_140-6,RAL 140-6,"[0, 7, 30, 9]","[0, 5, 10, 5]",#E2DABA,"[226, 218, 186]"
B6B197,RAL_140-M,RAL 140-M,"[0, 7, 40, 45]","[5, 10, 20, 10]",#B6B197,"[182, 177, 151]"
F6F4ED,RAL_150-1,RAL 150-1,"[0, 3, 5, 0]","[0, 3, 3, 0]",#F6F4ED,"[246, 244, 237]"
F5EFE8,RAL_150-2,RAL 150-2,"[0, 5, 7, 0]","[0, 4, 3, 0]",#F5EFE8,"[245, 239, 232]"
F0E6DD,RAL_150-3,RAL 150-3,"[0, 7, 10, 0]","[0, 5, 5, 3]",#F0E6DD,"[240, 230, 221]"
F8E8D9,RAL_150-4,RAL 150-4,"[0, 12, 15, 0]","[0, 5, 5, 0]",#F8E8D9,"[248, 232, 217]"
F5EEE1,RAL_150-5,RAL 150-5,"[0, 3, 15, 0]","[0, 4, 5, 0]",#F5EEE1,"[245, 238, 225]"
F7E3DB,RAL_150-6,RAL 150-6,"[0, 13, 15, 0]","[0, 8, 5, 0]",#F7E3DB,"[247, 227, 219]"
B5A79A,RAL_150-M,RAL 150-M,"[6, 26, 35, 40]","[0, 10, 10, 30]",#B5A79A,"[181, 167, 154]"
